"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",6414.22966666667,119.668287258282,6189,6333,6414,6493,6652,1.00081345969482,9000
"delta[1]",0.0318374086674551,0.0144928620106899,0.0109971801229637,0.0212102011383695,0.0296211845436296,0.0396714674742557,0.0663563609756996,1.00120957155478,5800
"delta[2]",0.201329155827884,0.0593148073308175,0.104516578631826,0.159334851097237,0.194578661349742,0.235806884965418,0.336500273689964,1.00116296242584,6500
"delta[3]",0.213461080722771,0.0642737607544809,0.109711814250023,0.167361655846473,0.206023810449332,0.249590704552662,0.363191607637308,1.00098438651001,9000
"delta[4]",1.39836511571745,0.336727922716517,0.819733655821381,1.16398043018002,1.37135670917588,1.60531196162044,2.15264625534789,1.00122024125925,5600
"delta[5]",0.441195589274122,0.124015746278407,0.232759764566676,0.353304880247357,0.429107439527418,0.514003708301795,0.71469994789369,1.00150517444882,3400
"delta[6]",0.267235492416459,0.0824953597249014,0.132259238623016,0.208482637640686,0.258492356627085,0.315987942410255,0.453027390930282,1.00098077232183,9000
"delta[7]",0.602549750868378,0.156261096946977,0.343226812210552,0.493144483637513,0.586962822228664,0.694849886256959,0.955449957111767,1.00132006858738,4600
"delta[8]",0.964970147755135,0.238098113563006,0.55735397004107,0.796876505673093,0.945521882567468,1.10877159296535,1.49518750717346,1.00102703128863,9000
"delta[9]",2.84947438242586,0.673167759825163,1.67949989214186,2.37788921949681,2.79872175347764,3.26329091178562,4.32321077731606,1.0012090215382,5800
"delta[10]",4.1022756200569,0.962913446897019,2.42889798415851,3.43096682022667,4.02067120835212,4.70994728918302,6.2099735206664,1.00127741204441,5000
"delta[11]",3.04546138165914,0.720293832843186,1.79182144708262,2.53865614363854,2.98476249144107,3.49680446935601,4.63989427773112,1.0012079671239,5800
"delta[12]",1.47552771485059,0.362996188998922,0.849968759631265,1.21686834032291,1.44860364483358,1.70742531658846,2.26159582335378,1.00110465739842,7600
"delta[13]",1.19918400237778,0.295458630010253,0.698764575438098,0.991569004939294,1.17466177548721,1.37395003463978,1.85628752255435,1.00165053540158,2900
"delta[14]",0.781625569430943,0.202215117270525,0.446244649360535,0.638470620677048,0.763778861833582,0.902841466951886,1.23545160336474,1.00098445142318,9000
"delta[15]",0.840950765399958,0.211443720002249,0.486421674953249,0.690575459274301,0.820416826986556,0.972504281714496,1.30409634646501,1.00144622710248,3700
"delta[16]",0.192730050602389,0.0700395839752005,0.0782583283726317,0.142618941195633,0.185531761368069,0.234111452970871,0.349589732320873,1.00099533845801,9000
"delta[17]",0.266485843846399,0.0761455949838612,0.140677040734675,0.211534009537353,0.259393133701257,0.312287259398068,0.435083890785622,1.00098050994096,9000
"delta[18]",0.0369137153922983,0.0252792694530795,0.00231726628049897,0.017619372481544,0.0326058055886419,0.0508444512488745,0.0965809787635052,1.00083985150551,9000
"delta[19]",0.0475179224973993,0.0236518101136088,0.0114641495662162,0.0305635069851867,0.0439001027057746,0.0608477660915033,0.103547182100639,1.00101311915464,9000
"deviance",552.434855854114,8.82826509409274,537.105380693055,546.140000234925,551.784029475178,557.999562206956,571.36697045421,1.000860726693,9000
"p",0.650637283362049,0.0173181792603107,0.616969373820912,0.638932799467873,0.650806618585274,0.662220760325117,0.685203432607225,1.00118593197947,6100
"pent[1]",0.0016774525601278,0.000634258171163595,0.000672143768649803,0.00120930179931329,0.00159661464367337,0.00206980642482421,0.00308600725043488,1.00092219769497,9000
"pent[2]",0.0106161066264076,0.00186031870820963,0.00731101659934811,0.00929446943604193,0.0105216721724326,0.0118268215440502,0.0145778552494452,1.00081910765009,9000
"pent[3]",0.0112543996875448,0.00206281530903625,0.00744082858759381,0.00981283097225784,0.0111643354729992,0.0126066340221661,0.0155483605547978,1.00094979365042,9000
"pent[4]",0.073762554714802,0.00479114251505639,0.0646644795322437,0.0704963292944264,0.073728351198366,0.0769373472800574,0.0833444154581083,1.00127430594022,5000
"pent[5]",0.0232765610851479,0.00365513287527961,0.0163698710037944,0.0207850027546356,0.0232095980907912,0.0257202889396707,0.0305361739708678,1.00107252919613,8400
"pent[6]",0.0140797525906219,0.00273266965943738,0.00890419192880746,0.0121990517922931,0.013985332004945,0.0158768926919715,0.0197746777114629,1.00081172411093,9000
"pent[7]",0.0317621616198927,0.00335698181623928,0.0255097774840797,0.0294399311570128,0.0316716878749534,0.0340001404811234,0.038542782073255,1.00116691941698,6400
"pent[8]",0.0509016275114779,0.00422017831918885,0.0429773011452345,0.0479694622313549,0.050859603281254,0.0537259976526511,0.0593472876077119,1.00123444506587,5500
"pent[9]",0.150300549839794,0.00690249694740863,0.137063931975937,0.145564563633282,0.150288278327675,0.154860924582967,0.164167955821906,1.00090201541583,9000
"pent[10]",0.216397170313362,0.0082886710034474,0.200392562397997,0.210798611492753,0.2162494844753,0.221956682268709,0.232890392246355,1.00091208722862,9000
"pent[11]",0.160656296559686,0.00793975397319282,0.14534931058031,0.155334901209827,0.160565161094332,0.165799541048019,0.176241688112546,1.00092102783452,9000
"pent[12]",0.0778087448006407,0.0062952649958565,0.0655159921305481,0.0734995369403682,0.0777596830882607,0.0820873081715708,0.0900518680579251,1.00102630630826,9000
"pent[13]",0.0632637522383584,0.00533207205473738,0.0530618754556588,0.0595915719613275,0.0632012480747599,0.0668259216099962,0.0740069285471671,1.00158619761722,3100
"pent[14]",0.0412056755185839,0.00438982806955512,0.0327973596866343,0.0382602258431108,0.0411494642779218,0.0441359048486082,0.0499885584366815,1.00100819533643,9000
"pent[15]",0.0443537502926226,0.00419490356252354,0.036366094274654,0.041478732486878,0.0442811572570163,0.0470791788412173,0.0529392176206955,1.00106350637785,8700
